,STARTDATE,ELAPSED,USERID,EVENTID,EVENT_DESC,WORKSPACEID,WS_DESC,TRANSACTIONTYPE,CORE_ID,HR_ORGANIZATION,LOCATION,USER_ROLE,MAG_CODE,ELAPSED_normalized,score
7827,2019-05-22 12:36:48,6.298,8559777,x84sljJzv,Team Allocation, ,Exception,1,USB06090,HPMS.IDA,NL-NYM01-s1,_Resource Manager,RG4,0.008354878370259349,2.389645169
8075,2019-05-26 12:00:18,3.315,10782842,x84sljJzv,Team Allocation, ,Exception,1,NXF28689,HPMS.AMP,IN-NDA02,_PM+RM,RNG,0.010328044172624149,2.780153755
8087,2019-05-27 06:06:36,1.008,3261824,x84sljJzv,Team Allocation, ,Exception,1,ATP50549,HPMS.STI,AT-GRK01-s1,_PMO+RM,RC9,0.03001398075841864,4.2666402714
8101,2019-05-27 07:34:14,1.757,8935706,x84sljJzv,Team Allocation, ,Exception,1,NXA02264,HPMS.SIP,BE-LEU01-s1,_PMO+RM,RM5,0.013042754545175284,3.1454991707
8355,2019-05-28 18:38:06,1.784,9622556,x84sljJzv,Team Allocation, ,Exception,1,R20110,T&O.TO-FO,US-AUS02,_PMO+RM,RAT,0.016641174583738455,3.5232535705
8577,2019-05-30 21:25:17,1.173,59568,x84sljJzv,Team Allocation, ,Exception,1,RFVP50,HPMS.DN,US-AUS01,_PMO+RM,RNG,0.07522176683352612,5.0582000357
8702,2019-06-03 08:13:18,0.825,8688137,x84sljJzv,Team Allocation, ,Exception,1,DEP11234,CORP.SSC-HRM,DE-HBG02,<No Rights>,RZ8,0.00790552236385549,2.2901314766
8871,2019-06-04 09:37:39,1.428,13417882,x84sljJzv,Team Allocation, ,Exception,1,NXF31779,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.028586614620429912,4.2129431822
9189,2019-06-07 11:52:17,1.456,8925514,x84sljJzv,Team Allocation, ,Exception,1,NXP29574,HPMS.OPS,AT-GRK01-s1,_Resource Manager,RC9,0.016551874900430853,3.5151065994
9406,2019-06-11 07:57:36,1.144,3262112,x84sljJzv,Team Allocation, ,Exception,1,NXP84335,HPMS.STI,DE-MUC02,_PM+RM,RC9,0.0078962351967915,2.2883856594
9488,2019-06-11 19:32:38,0.427,62050,x84sljJzv,Team Allocation, ,Exception,1,TTZ231,T&O.SSC-GTI,US-AUS01,_Resource Manager,RF9,0.01304204014770882,3.1454185387
9490,2019-06-11 19:54:15,18.612,56603,x84sljJzv,Team Allocation, ,Exception,1,RA0937,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_PMO+RM,RP2,0.008717792283221448,2.465581907
9516,2019-06-12 07:34:24,1.727,8796268,x84sljJzv,Team Allocation, ,Exception,1,NLV04912,T&O.SSC-GTI,NL-HTC01-s1,_PM+RM,RF9,0.04558498793739879,4.6746440379
9651,2019-06-13 08:23:46,1.018,60030,x84sljJzv,Team Allocation, ,Exception,1,BCOSTIN1,HPMS.AMP,RO-BUH03,_PM+RM,RP2,0.017806356851536063,3.623611733
9790,2019-06-14 05:58:45,3.422,8929821,x84sljJzv,Team Allocation, ,Exception,0,ING07336,HPMS.STI,IN-BLR01-s1,_Resource Manager,RC9,0.03165923812367792,4.3226488937
9877,2019-06-14 09:53:40,1.828,7631998,x84sljJzv,Team Allocation, ,Exception,1,NXP73005,HPMS.AAA,AT-GRK01-s1,_PMO+RM,R62,0.015123794364975665,3.3686522326
10013,2019-06-14 15:01:58,2.26,3265133,x84sljJzv,Team Allocation, ,Exception,1,ATP02202,HPMS.STI,AT-GRK01-s1,_PM+RM,RC9,0.009710090364135535,2.6765160833
10174,2019-06-27 11:35:13,1.491,8922830,x84sljJzv,Team Allocation, ,Exception,0,NXP37459,HPMS.CBS,NL-HTC01-s1,_PM+RM,RD4,0.008462752387694934,2.411258875
10236,2019-06-28 07:17:44,1.334,3904193,x84sljJzv,Team Allocation, ,Exception,1,NXA00158,T&O.SSC-GTI,DE-HBG02,_PMO+RM,RF9,0.012479809341604153,3.0765246651
10243,2019-06-28 08:14:35,3.498,8677768,x84sljJzv,Team Allocation, ,Exception,1,ATP01403,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.2418628342576446,5.5833791343
10335,2019-06-28 20:11:06,1.199,22944171,x84sljJzv,Team Allocation, ,Exception,1,NXF39157,HPMS.SIP,US-SJO01-s1,_Resource Manager,R67,0.01573460419879967,3.4305376923
10411,2019-07-01 07:14:47,0.768,8794922,x84sljJzv,Team Allocation, ,Exception,1,NLV04220,HPMS.CBS,NL-NYM01-s1,_PM+RM,R88,0.009112139684707823,2.5485186986
10429,2019-07-01 08:14:49,1.477,57696,x84sljJzv,Team Allocation, ,Exception,1,B22877,HPMS.AMP,DE-MUC02,_PM+RM,RP2,0.008575627187395744,2.4341652804
10478,2019-07-01 11:30:46,1.786,8709831,x84sljJzv,Team Allocation, ,Exception,1,NXP42905,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.008114126424062052,2.3374990767
10566,2019-07-01 21:12:24,2.303,22945814,x84sljJzv,Team Allocation, ,Exception,1,NXF39853,T&O.TO-FO,US-AUS02,_PMO+RM,RAT,0.01007800505936286,2.736729564
10589,2019-07-02 07:04:21,3.033,8928343,x84sljJzv,Team Allocation, ,Exception,1,NXA04432,HPMS.STI,AT-GRK01-s1,_PM+RM,RC9,0.026529864314489195,4.1352303035
10624,2019-07-02 10:16:45,1.933,3265355,x84sljJzv,Team Allocation, ,Exception,0,NXP32477,HPMS.STI,AT-GRK01-s1,_PM+RM,RC9,0.019502336436914063,3.756278551
10650,2019-07-02 11:44:09,2.609,8706691,x84sljJzv,Team Allocation, ,Exception,0,NXP30098,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.008213427671900106,2.3640055483
10663,2019-07-02 12:44:01,8.521,8706691,x84sljJzv,Team Allocation, ,Exception,1,NXP30098,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.01138749561538555,2.9335651935
10691,2019-07-02 14:54:21,2.547,3265133,x84sljJzv,Team Allocation, ,Exception,1,ATP02202,HPMS.STI,AT-GRK01-s1,_PM+RM,RC9,0.1308361808025684,5.3671821918
10747,2019-07-03 06:36:47,2.222,56996,x84sljJzv,Team Allocation, ,Exception,1,B22586,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_Resource Manager,RP2,0.014405824911182539,3.2954318102
10907,2019-07-04 06:16:26,3.122,11066945,x84sljJzv,Team Allocation, ,Exception,1,SNEHA_DM,The Support IT.A Support PMO,NXP-REMOTE,_Core Team Support User,,0.01827285839713498,3.6627214408
10948,2019-07-04 08:56:06,1.366,17548761,x84sljJzv,Team Allocation, ,Exception,1,NXF35513,HPMS.STI,AT-GRK01-s1,<No Rights>,RC9,0.013929321801053166,3.2449631824
10965,2019-07-04 09:45:58,1.917,3261824,x84sljJzv,Team Allocation, ,Exception,1,ATP50549,HPMS.STI,AT-GRK01-s1,_PMO+RM,RC9,0.013921463428922098,3.2441634221
10970,2019-07-04 09:49:35,1.146,8688137,x84sljJzv,Team Allocation, ,Exception,1,DEP11234,CORP.SSC-HRM,DE-HBG02,<No Rights>,RZ8,0.008654925306172895,2.4533801165
10995,2019-07-04 11:24:28,1.993,8559777,x84sljJzv,Team Allocation, ,Exception,1,USB06090,HPMS.IDA,NL-NYM01-s1,_Resource Manager,RG4,0.011757553503012259,2.9866007331
11017,2019-07-04 12:48:46,4.536,57154,x84sljJzv,Team Allocation, ,Exception,1,B37715,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_Resource Manager,RP2,0.008038400292617204,2.3185569634
11080,2019-07-04 22:26:20,1.69,10439519,x84sljJzv,Team Allocation, ,Exception,0,NXF28560,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_Resource Manager,RP2,0.03771732863926572,4.4757542523
11111,2019-07-05 07:09:50,1.566,59694,x84sljJzv,Team Allocation, ,Exception,1,R66101,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_PM+RM,RP2,1.0,5.8666864398
11134,2019-07-05 08:39:52,0.803,3261936,x84sljJzv,Team Allocation, ,Exception,1,DEP05690,HPMS.STI,DE-HBG02,_Resource Manager,RC9,0.017141252810261035,3.5657799109
11144,2019-07-05 09:07:32,5.082,3265138,x84sljJzv,Team Allocation, ,Exception,0,NXP37887,HPMS.STI,AT-GRK01-s1,_PMO+RM,RC9,0.03360668561725014,4.3811852798
11333,2019-07-08 05:33:40,1.413,138977378,x84sljJzv,Team Allocation, ,Exception,1,NXF44200,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.008975689768613807,2.5224305858
11340,2019-07-08 06:05:35,2.564,1073514,x84sljJzv,Team Allocation, ,Exception,1,B57103,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_PM+RM,RP2,0.012838436869767489,3.121619346
11419,2019-07-08 10:13:35,1.67,7631748,x84sljJzv,Team Allocation, ,Exception,1,NLV03630,HPMS.AAA,NL-NYM01-s1,_PMO+RM,R16,0.2846509561138493,5.6277424638
11516,2019-07-08 22:40:45,2.031,57991,x84sljJzv,Team Allocation, ,Exception,1,B08380,HPMS.AAA,US-CHD01,_PMO+RM,RB4,0.008455608413030325,2.4100545592
11578,2019-07-09 11:19:30,1.033,8930703,x84sljJzv,Team Allocation, ,Exception,1,NXP21263,HPMS.STI,AT-GRK01-s1,_PM+RM,RC9,0.041892267433262784,4.5943743766
11670,2019-07-10 07:32:23,3.453,60246,x84sljJzv,Team Allocation, ,Exception,0,R62660,HPMS.MICR,CN-BJS01,_PM+RM,RMC,0.23878020918986614,5.5799310415
11730,2019-07-10 14:00:38,2.919,7210541,x84sljJzv,Team Allocation, ,Exception,1,DEP15373,HPMS.SEN,DE-HBG02,_PMO+RM,R53,0.009860828229558768,2.7003984492
11788,2019-07-11 07:13:41,0.933,223980625,x84sljJzv,Team Allocation, ,Exception,1,NXF47919,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.009285738269057804,2.5936673976
12081,2019-07-13 04:52:08,2.326,10439519,x84sljJzv,Team Allocation, ,Exception,0,NXF28560,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_Resource Manager,RP2,0.010603087197211565,2.8210026352
12098,2019-07-15 05:41:15,2.195,57194,x84sljJzv,Team Allocation, ,Exception,1,B47676,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_Resource Manager,RP2,0.01750345232575667,3.5996910532
12103,2019-07-15 06:14:50,3.866,62225,x84sljJzv,Team Allocation, ,Exception,1,B20971,HPMS.MICR,RO-BUH03,_Resource Manager,RMC,0.008824951903190572,2.4880732575
12104,2019-07-15 06:26:42,3.548,7631998,x84sljJzv,Team Allocation, ,Exception,0,NXP73005,HPMS.AAA,AT-GRK01-s1,_PMO+RM,R62,0.008129843168324189,2.3405229389
12121,2019-07-15 07:44:01,2.544,62225,x84sljJzv,Team Allocation, ,Exception,1,B20971,HPMS.MICR,RO-BUH03,_Resource Manager,RMC,0.01630683656943479,3.4926297576
12246,2019-07-15 17:02:41,2.384,163949604,x84sljJzv,Team Allocation, ,Exception,0,NXF44647,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_PMO+RM,RP2,0.00929931182092056,2.5959903883
12252,2019-07-15 17:35:04,2.235,163949604,x84sljJzv,Team Allocation, ,Exception,1,NXF44647,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_PMO+RM,RP2,0.00786194411840138,2.2807745668
12258,2019-07-15 19:31:20,5.253,62745,x84sljJzv,Team Allocation, ,Exception,1,B36319,T&O.TO-PT,US-CHD01,_Resource Manager,RG6,0.010795974513155988,2.84905733
12346,2019-07-16 10:47:46,1.993,8956694,x84sljJzv,Team Allocation, ,Exception,0,NLV04283,T&O.TO-PT,NL-NYM01-s1,_PMO+RM,RG6,0.009587213999904273,2.6508182622
12352,2019-07-16 11:41:13,1.076,8935758,x84sljJzv,Team Allocation, ,Exception,1,NXP49421,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.056661720654873876,4.8517975113
12478,2019-07-17 17:07:46,1.698,56613,x84sljJzv,Team Allocation, ,Exception,1,RXNH40,HPMS.AMP,US-AUS01,_Resource Manager,RP2,0.00793195507011454,2.2975467037
12503,2019-07-18 07:08:28,4.951,8559799,x84sljJzv,Team Allocation, ,Exception,1,NXP51469,HPMS.IDA,DE-HBG02,_Resource Manager,RRA,0.00954935093418185,2.6443751565
12504,2019-07-18 07:09:43,10.35,8559799,x84sljJzv,Team Allocation, ,Exception,1,NXP51469,HPMS.IDA,DE-HBG02,_Resource Manager,RRA,0.008858528584114232,2.4972618346
12511,2019-07-18 07:26:45,0.945,1998069,x84sljJzv,Team Allocation, ,Exception,1,nxp007828,T&O.SSC-GTI,NL-HTC01-s1,_PMO+RM,R89,0.01467872474337057,3.3242549066
12528,2019-07-18 08:59:32,0.747,3265239,x84sljJzv,Team Allocation, ,Exception,1,NXA00051,HPMS.STI,GB-EKB02,_Resource Manager,RC9,0.04529065618121693,4.6689603136
12545,2019-07-18 11:15:51,3.225,17548761,x84sljJzv,Team Allocation, ,Exception,0,NXF35513,HPMS.STI,AT-GRK01-s1,<No Rights>,RC9,0.021664817567890977,3.8933411136
12657,2019-07-19 11:20:24,4.714,60455,x84sljJzv,Team Allocation, ,Exception,1,B35906,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.0081569902720497,2.3457824644
12703,2019-07-22 01:21:30,1.513,61373,x84sljJzv,Team Allocation, ,Exception,1,B21150,"HPMS.Kechichian, Kevork - NXF53803",CN-TNJ04,_Resource Manager,RMC,0.010877415824332524,2.8606008041
12758,2019-07-22 09:40:04,2.307,9485623,x84sljJzv,Team Allocation, ,Exception,1,NLV05967,T&O.TO-FO,NL-NYM01-s1,_PMO+RM,REA,0.008537049724206859,2.4269415956
12861,2019-07-23 06:25:05,1.638,8706691,x84sljJzv,Team Allocation, ,Exception,1,NXP30098,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.015705313902674777,3.4279858189
12869,2019-07-23 07:18:09,2.298,3262983,x84sljJzv,Team Allocation, ,Exception,1,NXP69668,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.033558106589530796,4.3799054437
12903,2019-07-23 10:19:09,5.798,11066945,x84sljJzv,Team Allocation, ,Exception,0,SNEHA_DM,The Support IT.A Support PMO,NXP-REMOTE,_Core Team Support User,,0.012158330481696782,3.0347033842
12940,2019-07-23 17:39:33,1.685,59568,x84sljJzv,Team Allocation, ,Exception,1,RFVP50,HPMS.DN,US-AUS01,_PMO+RM,RNG,0.03458898213363377,4.4080112481
12967,2019-07-24 05:58:29,0.523,3265260,x84sljJzv,Team Allocation, ,Exception,1,ATP01767,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.12677054482093983,5.3528435471
12979,2019-07-24 07:39:25,1.182,59714,x84sljJzv,Team Allocation, ,Exception,1,R49242,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_PM+RM,RNG,0.02200272756952695,3.9126331856
12986,2019-07-24 08:28:55,2.332,8687255,x84sljJzv,Team Allocation, ,Exception,0,DEP10906,HPMS.STI,DE-HBG02,_PMO+RM,RC9,0.007973390123169269,2.3071308079
13100,2019-07-25 09:55:39,7.197,257138781,x84sljJzv,Team Allocation, ,Exception,1,deepika_ro,The Support IT.A Support PMO,,_Core Team User,,0.012137612955169418,3.0322544686
13101,2019-07-25 09:59:27,1.602,58934,x84sljJzv,Team Allocation, ,Exception,1,R49267,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_PM+RM,RNG,0.011076732717475094,2.891009987
13130,2019-07-25 15:35:03,0.528,60997,x84sljJzv,Team Allocation, ,Exception,1,RA5598,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_Resource Manager,RMC,0.008215570864299488,2.3644049315
13131,2019-07-25 15:52:28,1.287,3178549,x84sljJzv,Team Allocation, ,Exception,1,B57076,T&O.TO-FO,US-AUS02,_Resource Manager,RAT,0.05401273484923714,4.817817763
13194,2019-07-26 08:46:05,2.783,8693044,x84sljJzv,Team Allocation, ,Exception,0,FRQ04517,HPMS.OPS,FR-CFR02-s1,_PM+RM,RC9,0.007821223462813113,2.271355106
13197,2019-07-26 08:54:02,3.422,8693044,x84sljJzv,Team Allocation, ,Exception,0,FRQ04517,HPMS.OPS,FR-CFR02-s1,_PM+RM,RC9,0.06614034623987611,4.9698296153
13220,2019-07-26 10:58:27,0.619,8710353,x84sljJzv,Team Allocation, ,Exception,1,NXP48601,HPMS.CBS,NL-HTC01-s1,_PM+RM,R88,0.31279678749747286,5.65318679
13233,2019-07-26 11:41:47,9.524,58066,x84sljJzv,Team Allocation, ,Exception,0,B09288,HPMS.AAA,FR-TLS02,_PM+RM,RB4,0.009477196790069305,2.6318651424
13282,2019-07-26 18:28:27,0.772,163949604,x84sljJzv,Team Allocation, ,Exception,1,NXF44647,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_PMO+RM,RP2,0.00814770310498571,2.3439822944
13328,2019-07-29 04:56:24,4.596,59742,x84sljJzv,Team Allocation, ,Exception,0,R58653,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_PM+RM,RNG,0.014055770152616732,3.2577139774
13355,2019-07-29 07:52:52,1.123,10439242,x84sljJzv,Team Allocation, ,Exception,1,NXF27735,HPMS.IDA,NL-NYM01-s1,_PMO+RM,RA1,0.012771283507920169,3.1124028027
13371,2019-07-29 09:02:07,0.735,8930703,x84sljJzv,Team Allocation, ,Exception,1,NXP21263,HPMS.STI,AT-GRK01-s1,_PM+RM,RC9,0.010141586433877872,2.7470697468
13374,2019-07-29 09:29:05,0.868,8711508,x84sljJzv,Team Allocation, ,Exception,1,NXP52773,HPMS.CBS,AT-GRK01-s1,_PM+RM,RD4,0.0538019875966312,4.8149102988
13454,2019-07-29 15:54:13,1.882,8928343,x84sljJzv,Team Allocation, ,Exception,1,NXA04432,HPMS.STI,AT-GRK01-s1,_PM+RM,RC9,0.012914163001212335,3.1305212787
13473,2019-07-29 19:13:44,5.739,60803,x84sljJzv,Team Allocation, ,Exception,1,RZWB50,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_Resource Manager,RMC,0.017424868604445982,3.5895646683
13526,2019-07-30 08:03:46,1.182,59697,x84sljJzv,Team Allocation, ,Exception,1,R63249,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_PM+RM,RNG,0.00819128135043982,2.3531868053
13617,2019-07-31 01:54:55,2.222,61645,x84sljJzv,Team Allocation, ,Exception,1,B46522,HPMS.MICR,CN-SHA02,_Resource Manager,RMC,0.2958655675423513,5.6382868125
13622,2019-07-31 04:30:59,1.288,57169,x84sljJzv,Team Allocation, ,Exception,1,B41536,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_Resource Manager,RP2,0.019079413136769252,3.7259958803
13633,2019-07-31 05:31:41,2.794,7631998,x84sljJzv,Team Allocation, ,Exception,0,NXP73005,HPMS.AAA,AT-GRK01-s1,_PMO+RM,R62,0.00786194411840138,2.2807745668
13635,2019-07-31 06:11:41,11.361,62083,x84sljJzv,Team Allocation, ,Exception,0,B37717,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_Resource Manager,RMC,0.008912822791565253,2.5082460406
13686,2019-07-31 11:13:07,1.749,8796006,x84sljJzv,Team Allocation, ,Exception,1,NLV04650,T&O.TO-FO,NL-NYM01-s1,_Resource Manager,R86,0.011953298408822526,3.0098892936
13751,2019-07-31 18:13:04,1.532,61049,x84sljJzv,Team Allocation, ,Exception,1,ECM008,HPMS.MICR,US-AUS01,_PM+RM,RMC,0.009207154547747114,2.5746881327
13759,2019-07-31 20:19:49,1.347,22945814,x84sljJzv,Team Allocation, ,Exception,1,NXF39853,T&O.TO-FO,US-AUS02,_PMO+RM,RAT,0.02127689974360275,3.8692934263
13760,2019-07-31 20:33:53,1.425,323544,x84sljJzv,Team Allocation, ,Exception,1,B56595,HPMS.AMP,CA-KAN01,_Resource Manager,RP2,0.012934166130273237,3.1327739228
13774,2019-08-01 03:35:02,1.706,16310240,x84sljJzv,Team Allocation, ,Exception,1,NXF35409,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.007882661644928745,2.2853262812
13778,2019-08-01 04:26:30,1.571,59740,x84sljJzv,Team Allocation, ,Exception,1,B12310,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_PM+RM,RNG,0.008516332197679496,2.4231565408
13792,2019-08-01 06:36:00,1.791,3265259,x84sljJzv,Team Allocation, ,Exception,1,NXP90507,HPMS.STI,AT-GRK01-s1,_PM+RM,RC9,0.008154132682183858,2.3452280903
13794,2019-08-01 06:40:28,11.77,59742,x84sljJzv,Team Allocation, ,Exception,0,R58653,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_PM+RM,RNG,0.044154764209544214,4.6463430726
13870,2019-08-01 14:27:22,4.107,229199436,x84sljJzv,Team Allocation, ,Exception,1,NXF49204,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.00844274925863403,2.404014501
13882,2019-08-01 15:40:27,2.591,60111,x84sljJzv,Team Allocation, ,Exception,0,B08502,HPMS.MICR,RO-BUH03,_PM+RM,RMC,0.015562434409382613,3.415017703
13906,2019-08-01 18:56:15,1.982,61944,x84sljJzv,Team Allocation, ,Exception,0,B22037,HPMS.MICR,MX-GDL01,_PMO+RM,RMC,0.014582281085398361,3.3147641497
13914,2019-08-01 20:38:13,2.137,60205,x84sljJzv,Team Allocation, ,Exception,1,RTCW50,HPMS.AMP,US-AUS01,_Resource Manager,RP2,0.01381859019375174,3.2333435548
13938,2019-08-02 06:19:59,2.203,60455,x84sljJzv,Team Allocation, ,Exception,1,B35906,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.042526652383479996,4.6084133707
13940,2019-08-02 06:41:45,59.884,11066945,x84sljJzv,Team Allocation, ,Exception,0,SNEHA_DM,The Support IT.A Support PMO,NXP-REMOTE,_Core Team Support User,,0.007813365090682043,2.2698978371
13951,2019-08-02 07:34:02,0.911,10439242,x84sljJzv,Team Allocation, ,Exception,1,NXF27735,HPMS.IDA,NL-NYM01-s1,_PMO+RM,RA1,0.08175993244657559,5.1145682886
13957,2019-08-02 07:52:22,2.034,61401,x84sljJzv,Team Allocation, ,Exception,1,B03823,"HPMS.Kechichian, Kevork - NXF53803",CN-SHA02,_Resource Manager,RMC,0.01164610749824437,2.9725365502
13997,2019-08-02 09:56:54,1.761,59721,x84sljJzv,Team Allocation, ,Exception,1,B02759,"HPMS.Kechichian, Kevork - NXF53803",IN-BLR01-s1,_Resource Manager,RNG,0.06811565523464029,4.990581571
14172,2019-08-05 01:19:19,2.35,61638,x84sljJzv,Team Allocation, ,Exception,1,B08287,HPMS.MICR,CN-SHA02,_Resource Manager,RMC,0.25944344150977905,5.6022532035
14197,2019-08-05 06:14:58,1.879,3262983,x84sljJzv,Team Allocation, ,Exception,1,NXP69668,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.03651714089561153,4.4546698699
14300,2019-08-05 10:56:49,2.633,8677768,x84sljJzv,Team Allocation, ,Exception,0,ATP01403,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.008004823611693544,2.313211681
14396,2019-08-05 15:57:15,3.077,56581,x84sljJzv,Team Allocation, ,Exception,1,RVGV70,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_Resource Manager,RP2,0.08638565604190943,5.1487083948
14414,2019-08-05 21:15:15,3.371,180977915,x84sljJzv,Team Allocation, ,Exception,1,NXF42918,HPMS.MICR,US-AUS01,_PMO+RM,RMC,0.03874463219603639,4.5140482008
14418,2019-08-05 22:03:40,0.975,57991,x84sljJzv,Team Allocation, ,Exception,1,B08380,HPMS.AAA,US-CHD01,_PMO+RM,RB4,0.03695578094001848,4.462221914
14425,2019-08-06 00:39:40,1.387,61049,x84sljJzv,Team Allocation, ,Exception,1,ECM008,HPMS.MICR,US-AUS01,_PM+RM,RMC,0.009096422940445686,2.5450432591
14430,2019-08-06 03:58:17,2.721,60865,x84sljJzv,Team Allocation, ,Exception,1,EKT011,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_Resource Manager,RMC,0.011763983080210406,2.9873795523
14432,2019-08-06 04:33:27,16.823,63630,x84sljJzv,Team Allocation, ,Exception,0,B14382,T&O.TO-PT,CN-TNJ03,_Resource Manager,RTN,0.06342063508505974,4.9379905798
14454,2019-08-06 05:39:45,7.77,63626,x84sljJzv,Team Allocation, ,Exception,1,B15853,T&O.TO-PT,CN-TNJ03,_Resource Manager,RTN,0.009902977680079958,2.7083022294
14458,2019-08-06 05:53:21,4.151,59742,x84sljJzv,Team Allocation, ,Exception,1,R58653,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_PM+RM,RNG,0.013693570637121096,3.2201992709
14466,2019-08-06 06:17:15,6.149,8923134,x84sljJzv,Team Allocation, ,Exception,1,DEP16805,HPMS.CBS,DE-HBG02,_PM+RM,RD4,0.008024826740754448,2.3158655744
14514,2019-08-06 09:23:06,2.12,8559799,x84sljJzv,Team Allocation, ,Exception,0,NXP51469,HPMS.IDA,DE-HBG02,_Resource Manager,RRA,0.010498785167108286,2.8066846111
14529,2019-08-06 11:10:13,3.111,8934457,x84sljJzv,Team Allocation, ,Exception,1,BEQ03367,HPMS.SIP,BE-LEU01-s1,_PMO+RM,R83,0.0436061069553023,4.632869693
14590,2019-08-06 23:31:40,0.795,59024,x84sljJzv,Team Allocation, ,Exception,1,RP1032,HPMS.CBS,US-CHD01,_PM+RM,RD4,0.008334875241198445,2.386135676
14674,2019-08-08 06:13:07,2.287,22944023,x84sljJzv,Team Allocation, ,Exception,1,NXF38695,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.026902065394515284,4.149636697
14699,2019-08-08 07:57:54,1.155,22944023,x84sljJzv,Team Allocation, ,Exception,1,NXF38695,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.008331303253866143,2.3854959539
14712,2019-08-08 08:49:33,1.435,8711508,x84sljJzv,Team Allocation, ,Exception,1,NXP52773,HPMS.CBS,AT-GRK01-s1,_PM+RM,RD4,0.010065145904966565,2.7343985068
14732,2019-08-08 10:51:49,1.518,8709831,x84sljJzv,Team Allocation, ,Exception,1,NXP42905,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.010672383751458266,2.8303565494
14780,2019-08-08 16:52:31,2.517,3180504,x84sljJzv,Team Allocation, ,Exception,0,RZPZ80,T&O.TO-FO,US-AUS02,_Resource Manager,RAT,0.037306550096050745,4.4678867449
14827,2019-08-09 04:44:15,3.741,62402,x84sljJzv,Team Allocation, ,Exception,1,R61931,HPMS.OPS,CN-TNJ02,_PE+RM,RMC,0.00881566473612658,2.4862842509
14857,2019-08-09 06:18:45,3.969,59714,x84sljJzv,Team Allocation, ,Exception,1,R49242,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_PM+RM,RNG,0.04289528147617378,4.6163989728
14858,2019-08-09 06:18:54,5.482,59718,x84sljJzv,Team Allocation, ,Exception,1,R49168,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_PM+RM,RNG,0.4232304910553865,5.724780393
14867,2019-08-09 07:00:18,3.146,57142,x84sljJzv,Team Allocation, ,Exception,0,B17255,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_Resource Manager,RP2,0.0389339475246485,4.519470211
14869,2019-08-09 07:01:52,54.855,3265138,x84sljJzv,Team Allocation, ,Exception,0,NXP37887,HPMS.STI,AT-GRK01-s1,_PMO+RM,RC9,0.03963762902911242,4.5388919563
14898,2019-08-09 08:20:14,8.09,8923134,x84sljJzv,Team Allocation, ,Exception,1,DEP16805,HPMS.CBS,DE-HBG02,_PM+RM,RD4,0.10077004902909814,5.2385643686
