,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'AT-GRK01-s1'}),frozenset({'HPMS.STI'}),0.12722035525684108,0.2642822851656265,0.09793566970715314,0.769811320754717,2.912837386252635,0.06431358350029236,3.196150728378836
1,frozenset({'HPMS.STI'}),frozenset({'AT-GRK01-s1'}),0.2642822851656265,0.12722035525684108,0.09793566970715314,0.37057220708446864,2.912837386252635,0.06431358350029236,1.3866239377521181
2,frozenset({'AT-GRK01-s1'}),frozenset({'_PMO+RM'}),0.12722035525684108,0.21339414306289006,0.055928948631781085,0.439622641509434,2.0601438971072015,0.028780869941591042,1.4037074214702636
3,frozenset({'_PMO+RM'}),frozenset({'AT-GRK01-s1'}),0.21339414306289006,0.12722035525684108,0.055928948631781085,0.26209223847019125,2.0601438971072015,0.028780869941591042,1.1827760734400432
4,frozenset({'_Resource Manager'}),frozenset({'CN-SHA02'}),0.37590014402304367,0.014882381180988958,0.014402304368698993,0.03831417624521073,2.574465455444321,0.008808015139359408,1.0243653327161828
5,frozenset({'CN-SHA02'}),frozenset({'_Resource Manager'}),0.014882381180988958,0.37590014402304367,0.014402304368698993,0.967741935483871,2.574465455444321,0.008808015139359408,19.347095535285664
6,"frozenset({'HPMS.Kechichian, Kevork - NXF53803'})",frozenset({'CN-SZH02'}),0.1557849255880941,0.021843494959193473,0.018482957273163705,0.11864406779661016,5.431551499348108,0.015080070036361842,1.109831419180915
7,frozenset({'CN-SZH02'}),"frozenset({'HPMS.Kechichian, Kevork - NXF53803'})",0.021843494959193473,0.1557849255880941,0.018482957273163705,0.846153846153846,5.431551499348108,0.015080070036361842,5.4873979836773845
8,frozenset({'_Resource Manager'}),frozenset({'CN-SZH02'}),0.37590014402304367,0.021843494959193473,0.02160345655304849,0.0574712643678161,2.6310471138057347,0.013392483651921035,1.037800194372563
9,frozenset({'CN-SZH02'}),frozenset({'_Resource Manager'}),0.021843494959193473,0.37590014402304367,0.02160345655304849,0.9890109890109889,2.6310471138057343,0.013392483651921035,56.79308689390266
10,frozenset({'_PE+RM'}),frozenset({'CN-TNJ02'}),0.014642342774843975,0.014642342774843975,0.011041766682669226,0.7540983606557377,51.50120935232464,0.0108273684807332,4.0071211393823
