,Combined_frozenset,antecedent support,consequent support,support,confidence,lift,leverage,conviction,time_elapsed_aggregate
0,"frozenset({'org_HPMS.STI', 'loc_AT-GRK01-s1'})",0.2812612775171418,0.2812612775171418,0.14805124503789246,0.6160743703919221,2.190398820023758,0.08046024577124446,2.720954076675561,"7.23,4.2,3388"
1,"frozenset({'role__PM+RM', 'org_HPMS.AMP'})",0.15725369902562253,0.15725369902562253,0.013442800433056658,0.47394815362295034,3.0139078225799087,0.008982544438382738,4.127022796199648,"13.1,8.57,204"
2,"frozenset({'org_HPMS.CBS', 'role__PM+RM'})",0.1792223024178997,0.1792223024178997,0.036358715265247206,0.3697235753884465,2.062932851550738,0.01873394612265693,1.4525423388510297,"7.36,5.03,717"
3,"frozenset({'org_HPMS.SEN', 'role__PMO+RM'})",0.1238271382172501,0.1238271382172501,0.016420064958498737,0.37014563106796117,2.9892125134843583,0.01092695769883496,1.691907923455502,"6.5,5.36,306"
4,"frozenset({'org_T&O.SSC-GTI', 'role__PMO+RM'})",0.12730061349693253,0.12730061349693253,0.01849512811259473,0.33432154415164117,2.6262367082755427,0.011452682907897579,1.4657271315439542,"6.26,4.04,432"
5,"frozenset({'org_T&O.TO-FO', 'role__PMO+RM'})",0.12418801876578853,0.12418801876578853,0.025351858534824974,0.5568365695792881,4.483818770226537,0.019697781099053832,inf,"4.55,2.57,1047"
6,"frozenset({'role__Core Team Support User', 'org_The Support IT.A Support PMO'})",0.051380368098159504,0.051380368098159504,0.04646337062432335,0.9126602564102564,17.76282051282051,0.04384760526257869,inf,"9.22,5.54,905"
7,"frozenset({'org_HPMS.STI', 'role__PM+RM', 'loc_AT-GRK01-s1'})",0.2210393359797907,0.2210393359797907,0.04844821364128474,0.515122838189214,2.330457770811938,0.027659073306677752,3.777920004737672,"5.88,4.17,1128"
8,"frozenset({'org_HPMS.STI', 'loc_AT-GRK01-s1', 'role__PMO+RM'})",0.10298628653915554,0.10298628653915554,0.022464814146517503,0.41527891414879314,4.032370989422009,0.016893696259435997,1.9390157182261611,"8.35,4.64,468"
9,"frozenset({'role__Program Manager', 'org_HPMS.STI', 'loc_AT-GRK01-s1'})",0.19690544929628293,0.1969054492962829,0.06658246120534103,0.46379320463641105,2.396074591143123,0.03856225502025737,1.9971197489602492,"7.74,4.71,1385"
10,"frozenset({'role__Program Manager', 'org_HPMS.STI', 'loc_CN-SHA01-s1'})",0.1403599783471671,0.14035997834716707,0.010555756044749188,0.43871521877515884,3.5611838959200286,0.007320500509152835,10.265725811697486,"9.98,7.86,132"
11,"frozenset({'role__Program Manager', 'loc_CN-SHA02', 'org_HPMS.MICR'})",0.08285215926861543,0.08285215926861542,0.012360158787441356,0.5987021000229299,17.526239704739307,0.01042836473358763,inf,"10.63,7.46,166"
12,"frozenset({'org_HPMS.CBS', 'role__PM+RM', 'loc_DE-HBG02'})",0.08767893660531696,0.08767893660531699,0.010645976181883796,0.3020452191548608,4.021845270361165,0.007703796360919272,1.6979097207198206,"5.25,3.94,261"
13,"frozenset({'org_HPMS.OPS', 'role__Program Manager', 'loc_DE-HBG02'})",0.0901148803079514,0.0901148803079514,0.012360158787441356,0.4588642063448258,8.996096884317405,0.01003181342410523,4.482782271439627,"5.3,4.01,308"
14,"frozenset({'loc_DE-HBG02', 'org_HPMS.SEN', 'role__PMO+RM'})",0.064747985083604,0.064747985083604,0.011457957416095272,0.463744861220283,10.430113123457645,0.00989614677858001,5.715890611465697,"6.29,5.32,214"
15,"frozenset({'role__Program Manager', 'org_HPMS.STI', 'loc_DE-MUC02'})",0.15920846866353905,0.15920846866353902,0.013893901118729702,0.4331502971274208,3.0318731035305446,0.008899826366663059,6.804458439858776,"7.03,4.9,290"
16,"frozenset({'org_HPMS.STI', 'role__PM+RM', 'loc_FR-CFR02-s1'})",0.2020931071815229,0.2020931071815229,0.012540599061710574,0.417870625987269,2.0677134010905758,0.006475639065273797,2.0641395303315067,"9.16,7.35,201"
17,"frozenset({'org_HPMS.STI', 'loc_FR-MGI01', 'role__PM+RM'})",0.1541711776735234,0.15417117767352337,0.010826416456153011,0.34199439085806965,2.2931452786366386,0.00603098771395565,1.5801486866672703,"6.91,4.85,218"
18,"frozenset({'loc_FR-TLS02', 'org_HPMS.AAA', 'role__PMO+RM'})",0.058462648863226274,0.058462648863226274,0.010194875496210754,0.35928575056858975,5.889647143263676,0.008263949674159115,5.218332651366926,"10.04,8.91,144"
19,"frozenset({'role__Program Manager', 'loc_FR-TLS02', 'org_HPMS.AAA'})",0.11202333694213884,0.11202333694213884,0.032389029231324425,0.5418080757831146,7.20732855950552,0.024671392712834982,3.0614868045176693,"12.22,10.5,461"
20,"frozenset({'org_HPMS.STI', 'role__PM+RM', 'loc_IN-BLR01-s1'})",0.19783772404667388,0.19783772404667388,0.07235654998195597,0.49309091320576015,2.5475148831610097,0.04344485694860887,2.103535915995309,"7.77,5.21,1318"
21,"frozenset({'org_HPMS.AAA', 'loc_NL-HTC01-s1', 'role__PMO+RM'})",0.08399494767232046,0.08399494767232046,0.01290147961024901,0.3647583581657148,4.2711465692121395,0.009805875090182152,inf,"7.47,6.05,231"
22,"frozenset({'org_HPMS.CBS', 'role__PM+RM', 'loc_NL-HTC01-s1'})",0.046891916275712736,0.046891916275712736,0.01100685673042223,0.29455003597742374,6.65594290944514,0.00909629637057835,1.4246346547047644,"10.86,7.97,165"
23,"frozenset({'org_HPMS.AAA', 'loc_NL-NYM01-s1', 'role__PMO+RM'})",0.0909418982316853,0.0909418982316853,0.015337423312883436,0.2784594740231365,3.1333757166297027,0.010398549110859004,1.346246192129275,"10.12,6.09,295"
24,"frozenset({'org_HPMS.IDA', 'role__Program Manager', 'loc_NL-NYM01-s1'})",0.09519728136653434,0.09519728136653434,0.012540599061710572,0.3448304227587089,5.300689564906125,0.009323119215649808,1.6122278787864337,"13.99,12.96,191"
25,"frozenset({'role__Program Manager', 'loc_NL-NYM01-s1', 'org_HPMS.SIP'})",0.045222843738722485,0.04522284373872248,0.010645976181883796,0.3448303610962224,7.5246620913052595,0.00917825066963463,1.8017338139242116,"5.82,2.93,310"
26,"frozenset({'org_T&O.TO-FO', 'loc_NL-NYM01-s1', 'role__PMO+RM'})",0.06864248766991458,0.06864248766991458,0.014796102490075786,0.4624106516731043,8.605999171619244,0.01265391687800514,inf,"7.22,4.78,302"
27,"frozenset({'role__Core Team Support User', 'org_The Support IT.A Support PMO', 'loc_NXP-REMOTE'})",0.0484331769517623,0.0484331769517623,0.04646337062432335,0.9639159029605797,19.96910240161191,0.044121478131650245,inf,"9.22,5.54,905"
