Combined_frozenset,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'HPMS.CBS', 'NL-HTC01-s1'})",0.06593206447500227,0.06593206447500227,0.02103633548857117,0.3222477417763665,4.887572448130221,0.01673228972519455,1.380814646214761
"frozenset({'HPMS.CBS', '_PM+RM'})",0.1809033785629724,0.1809033785629724,0.03669975412075403,0.3697235753884465,2.0437626888197995,0.018742799371792036,1.4485488845364463
"frozenset({'IN-NDA02', 'HPMS.DN'})",0.009061105545942994,0.009061105545942994,0.0010927966487569438,0.3335195530726257,36.807821229050276,0.0010631073976068524,1.7645759387335882
"frozenset({'_Finance Controller', 'HPMS.F&A'})",0.0016847281668336215,0.0016847281668336215,0.0011838630361533558,0.7468944099378882,443.33229813664605,0.0011811926621672303,8.133872142792098
"frozenset({'HPMS.IDA', 'NL-HTC01-s1'})",0.05650669337947363,0.05650669337947363,0.009470904289226846,0.18218056575009883,3.2240528485122244,0.0065333270427504735,1.1570312697627378
"frozenset({'NL-NYM01-s1', 'HPMS.IDA'})",0.06183407704216373,0.06183407704216373,0.01602768418176851,0.2941383511574388,4.7568972519290655,0.012658327365144228,1.352668306036803
"frozenset({'HPMS.Kechichian, Kevork - NXF53803', 'IN-NDA02'})",0.02932337674164466,0.02932337674164466,0.0021855932975138877,0.09284555775815462,3.16626419174626,0.0014953182082742599,1.0715849110529994
"frozenset({'HPMS.Kechichian, Kevork - NXF53803', 'US-AUS01'})",0.05723522447864493,0.05723522447864493,0.017849011929696748,0.3344900619094167,5.844129466710111,0.014794833881217502,1.4382677929846643
"frozenset({'HPMS.MICR', 'RO-BUH03'})",0.035197158728713235,0.035197158728713235,0.005008651306802659,0.5208639615799274,14.798466137410562,0.004670193843691616,13.859641932751082
"frozenset({'HPMS.MICR', 'US-AUS01'})",0.06866405609689463,0.06866405609689463,0.031782169201347785,0.4640433666271655,6.758170038372552,0.02707939181917329,1.7407403979208422
"frozenset({'HPMS.MICR', 'US-SJO01-s1'})",0.03710955286403789,0.03710955286403789,0.0028230580092887714,0.17821370125839398,4.8023672478979735,0.0022352108365169595,1.1983927887229706
"frozenset({'HPMS.MICR', '_PM+RM+Portfolio'})",0.03715508605773609,0.03715508605773609,0.0030051907840815957,0.18804469273743019,5.061075418994413,0.0024114057610797653,1.216994110670797
"frozenset({'GB-EKB02', 'HPMS.CBS'})",0.03938621254894818,0.03938621254894818,0.010199435388398142,0.34880036867421294,8.855900227541115,0.009047724650208167,1.583840431519095
"frozenset({'FR-TLS02', '_Program Manager'})",0.20972589017393678,0.20972589017393678,0.036517621345961204,0.42333006344200375,2.018492152260809,0.01842608638256801,1.7769695999240778
"frozenset({'HPMS.AAA', 'FR-TLS02'})",0.08596666970221292,0.08596666970221292,0.04425826427465623,0.6330919367658747,7.36438830256999,0.03824849639492463,5.4425655062817935
"frozenset({'_PM+RM', 'FR-MGI01'})",0.16218923595300974,0.16218923595300974,0.014024223659047446,0.34268786210222635,2.112889058812211,0.00738676032392499,1.4789786287301592
"frozenset({'<No Rights>', 'NL-HTC01-s1'})",0.042846735270011836,0.042846735270011836,0.002003460522721064,0.08968116444290418,2.0930687922370472,0.0010462724311725827,1.0541256405187673
"frozenset({'AT-GRK01-s1', 'HPMS.STI'})",0.28389946270831434,0.28389946270831434,0.14943994171751207,0.616074370391922,2.1700441575857887,0.08057501046940024,2.707393688338322
"frozenset({'HPMS.RPS', 'CN-CDU01'})",0.006875512248429105,0.006875512248429105,0.0015481285857390037,0.5634328358208955,81.94776119402985,0.0015292369337502024,inf
"frozenset({'_Program Manager', 'CN-CDU01'})",0.18609416264456788,0.18609416264456788,0.0015481285857390037,0.5020884520884521,2.698034398034398,0.000974329902198548,inf
"frozenset({'HPMS.STI', 'CN-SHA01-s1'})",0.20403424096166106,0.20403424096166106,0.014570621983425918,0.4783445286875949,2.344432613041053,0.008355633374934498,4.28796296104876
"frozenset({'HPMS.MICR', 'CN-SHA02'})",0.039295146161551775,0.039295146161551775,0.012749294235497678,0.5739558393189679,14.606278265496142,0.011876430251684987,10.42857043479142
"frozenset({'_Program Manager', 'CN-SHA02'})",0.19201347782533465,0.19201347782533465,0.012476095073308442,0.48281686138829,2.514494643066072,0.007514424103870383,5.136284751418518
"frozenset({'HPMS.AAA', 'CN-TNJ02'})",0.0631090064657135,0.0631090064657135,0.0022766596849103,0.37689262095370696,5.972089279498782,0.001895443065673594,2.1641680217014185
"frozenset({'HPMS.MICR', 'CN-TNJ03'})",0.0364265549585648,0.0364265549585648,0.0073763773791093706,0.538707102952913,14.788856743814843,0.0068775979597878335,13.646617385648947
"frozenset({'CN-TNJ03', '_Program Manager'})",0.18914488662234769,0.18914488662234769,0.007467443766505783,0.4981689481689482,2.633795483795484,0.004632203212541179,13.722933279393825
"frozenset({'HPMS.OPS', 'TW-KHH01-s1'})",0.013796557690556415,0.013796557690556415,0.0013659958109461798,0.5260416666666666,38.12847222222222,0.0013301696754801477,inf
"frozenset({'CORP.SSC-HRM', 'US-AUS01'})",0.03747381841362353,0.03747381841362353,0.0027319916218923597,0.5028103616813295,13.417644183773216,0.002528379751993743,14.900286966679086
"frozenset({'DE-DRS01-s1', 'HPMS.IDA'})",0.020854202713778344,0.020854202713778344,0.0011838630361533558,0.5146067415730337,24.676404494382023,0.0011358875283591437,inf
"frozenset({'DE-DRS01-s1', '_PM+RM'})",0.15180766778981877,0.15180766778981877,0.001001730261360532,0.42473305074931095,2.7978366108447412,0.0006436928200468724,2.7681654469915227
"frozenset({'DE-HBG02', 'HPMS.CBS'})",0.07417357253437756,0.07417357253437756,0.012931427010290502,0.18156714871492174,2.447868459224746,0.007648697474085783,1.132637098350533
"frozenset({'DE-HBG02', 'HPMS.OPS'})",0.057599490028230574,0.057599490028230574,0.012931427010290502,0.3191992209712271,5.541702206300467,0.01059795138693627,1.4682345919142326
"frozenset({'DE-HBG02', 'HPMS.SEN'})",0.056916492122757484,0.056916492122757484,0.01192969674892997,0.3069687051263305,5.393317361587577,0.009717756314292105,1.4388096173467302
"frozenset({'HPMS.CBS', 'DE-MUC02'})",0.040661141972497955,0.040661141972497955,0.0038247882706493033,0.11934551841763613,2.935124608609322,0.002521678937767689,1.0922714397406796
"frozenset({'HPMS.STI', 'DE-MUC02'})",0.20708496493944087,0.20708496493944087,0.017302613605318276,0.4162479876915607,2.010034807757708,0.008694497199304298,1.9476174183835937
"frozenset({'HPMS.Kechichian, Kevork - NXF53803', 'FR-CFR02-s1'})",0.041845005008651306,0.041845005008651306,0.011838630361533558,0.28295675240396,6.762019800104211,0.010087876783238636,1.3362848189446008
"frozenset({'HPMS.OPS', 'FR-CFR02-s1'})",0.033785629724068844,0.033785629724068844,0.0024587924597031237,0.07661068281938327,2.2675523127753308,0.001374454759597882,1.0465867486249936
